term,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
acoustic,76.0,125.0,135.0,167.0,236.0,223.0,412.0,389.0,412.0,154.0
alternative,113.0,177.0,198.0,208.0,262.0,298.0,377.0,422.0,432.0,228.0
alternative rock,0,92.0,140.0,135.0,184.0,183.0,0,266.0,0,0
beautiful,0,0,0,0,0,0,276.0,0,306.0,153.0
electronic,88.0,112.0,0,163.0,179.0,202.0,271.0,296.0,413.0,185.0
experimental,0,0,0,0,0,0,0,0,353.0,0
folk,0,0,0,0,0,0,273.0,0,0,0
guitar,117.0,174.0,198.0,209.0,291.0,284.0,508.0,489.0,546.0,233.0
indie,100.0,144.0,170.0,180.0,270.0,287.0,456.0,518.0,527.0,280.0
indie rock,0,0,0,0,169.0,0,300.0,334.0,0,163.0
instrumental,0,0,0,0,0,0,0,0,0,185.0
metal,71.0,93.0,136.0,139.0,0,188.0,0,0,0,0
pop,181.0,225.0,260.0,276.0,379.0,429.0,583.0,615.0,761.0,362.0
punk,71.0,0,151.0,150.0,174.0,182.0,0,272.0,292.0,0
rock,185.0,243.0,328.0,329.0,408.0,457.0,654.0,694.0,840.0,339.0
soul,0,94.0,0,0,0,0,0,0,0,0
soundtrack,84.0,0,125.0,0,0,0,0,0,0,0
